FIPS,WSI
31085,100.000
31087,100.000
31089,5.857
31091,2.495
31093,100.000
31095,100.000
31097,1.279
31099,100.000
31101,100.000
31103,5.129
31105,100.000
31107,3.394
31109,1.345
31111,100.000
31113,7.514
31115,1.773
31117,5.360
31119,6.160
31121,100.000
31123,100.000
31125,8.239
31127,1.185
31129,100.000
31131,1.092
31133,1.172
31135,100.000
31137,100.000
31139,18.768
31141,100.000
31143,100.000
31145,100.000
31147,1.121
31149,2.630
31151,100.000
31153,66.449
31155,1.798
31157,100.000
31159,15.130
31161,6.682
31163,100.000
31165,16.262
31167,2.076
31169,100.000
31171,2.441
31173,1.296
31175,7.179
31177,2.439
31179,2.375
31181,100.000
31183,5.693
31185,100.000
32001,12.188
32003,14.482
32005,1.263
32007,3.272
32009,11.047
32011,11.847
32013,6.297
32015,6.065
32017,13.483
32019,2.806
32021,4.624
32023,6.478
32027,5.728
32029,0.968
32031,1.093
32033,1.815
32510,1.435
33001,0.238
33003,0.206
33005,0.238
33007,0.225
33009,0.224
33011,0.249
33013,0.237
33015,0.262
33017,0.258
33019,0.224
34001,0.311
34003,0.299
34005,0.277
34007,0.288
34009,0.324
34011,0.326
34013,0.306
34015,0.296
34017,0.325
34019,0.274
34021,0.269
34023,0.289
34025,0.298
34027,0.283
34029,0.277
34031,0.301
34033,0.322
34035,0.281
34037,0.257
34039,0.366
34041,0.259
35001,100.000
35003,9.021
35005,100.000
35006,65.100
35007,18.516
35009,100.000
35011,100.000
35013,100.000
35015,100.000
35017,7.307
35019,15.090
35021,81.931
35023,11.401
35025,100.000
35027,10.772
35028,5.858
35029,6.764
35031,17.689
35033,12.999
35035,7.405
35037,43.636
35039,2.057
35041,100.000
35043,10.221
35045,3.171
35047,16.608
35049,8.478
35051,100.000
35053,13.791
35055,2.905
35057,29.561
35059,100.000
35061,100.000
36001,0.233
36003,0.326
36005,0.316
36007,0.272
36009,0.245
36011,0.369
36013,0.236
36015,0.389
36017,0.262
36019,-1.000
36021,0.224
36023,0.267
36025,0.289
36027,0.266
36029,0.276
36031,0.233
36033,0.240
36035,0.212
36037,0.366
36039,0.256
36041,0.209
36043,0.198
36045,0.183
36047,0.658
36049,0.186
36051,0.394
36053,0.246
36055,0.421
36057,0.219
36059,0.650
36061,0.403
36063,0.350
36065,0.214
36067,0.300
36069,0.374
36071,0.271
36073,0.372
36075,0.203
36077,0.266
36079,0.331
36081,0.461
36083,0.226
36085,0.338
36087,0.306
36089,0.226
36091,0.220
36093,0.227
36095,0.302
36097,0.360
36099,0.357
36101,0.409
36103,0.660
36105,0.262
36107,0.285
36109,0.341
36111,0.256
36113,0.230
36115,0.228
36117,0.402
36119,0.322
36121,0.320
36123,0.358
37001,0.518
37003,0.359
37005,0.321
37007,0.461
37009,0.323
37011,0.308
37013,0.329
37015,0.492
37017,0.447
37019,0.442
37021,0.291
37023,0.340
37025,0.511
37027,0.335
37029,0.501
37031,0.416
37033,0.534
37035,0.350
37037,0.515
37039,0.235
37041,0.510
37043,0.225
37045,0.334
37047,0.438
37049,0.443
37051,0.485
37053,0.504
37055,0.475
37057,0.437
37059,0.375
37061,0.454
37063,0.495
37065,0.286
37067,0.382
37069,0.497
37071,0.342
37073,0.517
37075,0.261
37077,0.494
37079,0.502
37081,0.528
37083,0.538
37085,0.499
37087,0.237
37089,0.300
37091,0.512
37093,0.488
37095,0.364
37097,0.411
37099,0.190
37101,0.481
37103,0.430
37105,0.512
37107,0.446
37109,0.399
37111,0.326
37113,0.229
37115,0.284
37117,0.365
37119,0.432
37121,0.305
37123,0.470
37125,0.506
37127,0.493
37129,0.452
37131,0.503
37133,0.454
37135,0.503
37137,0.414
37139,0.503
37141,0.443
37143,0.505
37145,0.546
37147,0.277
37149,0.332
37151,0.481
37153,0.458
37155,0.479
37157,0.463
37159,0.442
37161,0.332
37163,0.423
37165,0.489
37167,0.506
37169,0.434
37171,0.358
37173,0.190
37175,0.323
37177,0.480
37179,0.480
37181,0.500
37183,0.511
37185,0.517
37187,0.452
37189,0.300
37191,0.478
37193,0.357
37195,0.408
37197,0.367
37199,0.305
38001,9.002
38003,3.543
38005,5.298
38007,7.077
38009,10.977
38011,9.441
38013,9.780
38015,5.307
38017,3.209
38019,3.748
38021,8.513
38023,4.964
38025,6.613
38027,5.790
38029,5.446
38031,6.100
38033,8.196
38035,2.942
38037,6.426
38039,5.415
38041,6.936
38043,5.237
38045,8.083
38047,5.968
38049,11.826
38051,6.345
38053,5.701
38055,6.976
38057,100.000
38059,5.752
38061,7.103
38063,4.135
38065,6.377
38067,2.443
38069,6.802
38071,4.650
38073,3.219
38075,13.809
38077,3.159
38079,7.455
38081,3.750
